Timestamp,Temperature,Humidity,Rainfall,WindSpeed,Pressure
2025-03-01 00:00:00,33.43,94,7.99,18.42,1039.06
2025-03-01 01:00:00,20.07,42,0.44,2.0,1002.83
2025-03-01 02:00:00,33.27,46,10.03,15.55,1022.71
2025-03-01 03:00:00,17.65,61,30.24,4.51,999.9
2025-03-01 04:00:00,16.03,80,9.2,22.12,1018.27
2025-03-01 05:00:00,23.45,83,17.1,15.37,1013.2
2025-03-01 06:00:00,15.81,27,21.56,20.41,1038.6
2025-03-01 07:00:00,36.06,52,2.59,1.25,1020.43
2025-03-01 08:00:00,33.18,59,2.38,2.54,1007.48
2025-03-01 09:00:00,32.62,85,9.44,21.49,995.7
2025-03-01 10:00:00,28.86,78,5.29,2.16,997.56
2025-03-01 11:00:00,19.76,87,18.32,2.14,1001.27
2025-03-01 12:00:00,26.4,31,23.03,0.36,1002.55
2025-03-01 13:00:00,28.14,73,4.36,28.7,1032.53
2025-03-01 14:00:00,26.55,55,2.7,22.13,1018.06
2025-03-01 15:00:00,20.73,82,15.17,10.6,1016.17
2025-03-01 16:00:00,26.34,85,3.21,8.9,995.74
2025-03-01 17:00:00,25.81,48,17.29,10.49,1033.01
2025-03-01 18:00:00,36.92,44,5.51,23.24,1026.14
2025-03-01 19:00:00,34.74,61,11.01,19.84,993.38
2025-03-01 20:00:00,25.19,28,1.0,5.56,1025.39
2025-03-01 21:00:00,28.7,44,9.78,5.22,1017.18
2025-03-01 22:00:00,31.45,84,6.01,2.95,994.09
2025-03-01 23:00:00,15.77,48,8.83,19.81,1012.92
2025-03-02 00:00:00,34.69,74,1.84,22.93,1014.23
2025-03-02 01:00:00,33.92,73,13.35,7.95,998.29
2025-03-02 02:00:00,25.06,75,19.86,0.63,1037.28
2025-03-02 03:00:00,23.61,60,2.44,2.47,1032.5
2025-03-02 04:00:00,21.01,90,1.01,29.04,1023.45
2025-03-02 05:00:00,25.49,58,0.24,8.86,1013.11
2025-03-02 06:00:00,15.98,60,10.27,23.08,1010.59
2025-03-02 07:00:00,33.75,30,9.34,18.74,1022.55
2025-03-02 08:00:00,15.78,63,7.91,11.46,1017.27
2025-03-02 09:00:00,22.24,66,2.64,6.17,993.11
2025-03-02 10:00:00,35.49,82,4.96,3.64,1015.63
2025-03-02 11:00:00,31.17,36,9.03,18.45,1030.32
2025-03-02 12:00:00,21.19,27,6.87,23.24,1012.96
2025-03-02 13:00:00,20.56,42,44.05,19.32,992.6
2025-03-02 14:00:00,15.11,64,1.47,15.91,1029.31
2025-03-02 15:00:00,30.31,45,11.88,1.26,1000.07
2025-03-02 16:00:00,16.07,39,5.18,29.05,1002.93
2025-03-02 17:00:00,26.72,50,5.59,23.96,998.24
2025-03-02 18:00:00,36.17,32,12.64,8.78,1006.51
2025-03-02 19:00:00,17.41,66,11.79,29.4,1027.84
2025-03-02 20:00:00,34.68,68,47.39,18.06,1015.97
2025-03-02 21:00:00,36.81,38,1.37,17.47,1000.24
2025-03-02 22:00:00,16.35,26,1.1,22.44,1033.89
2025-03-02 23:00:00,34.42,61,12.89,24.35,1033.98
2025-03-03 00:00:00,26.35,93,8.64,19.69,1033.53
2025-03-03 01:00:00,34.94,62,3.2,3.84,1001.94
2025-03-03 02:00:00,27.57,65,0.83,10.15,1012.56
2025-03-03 03:00:00,29.57,86,0.9,27.84,1039.25
2025-03-03 04:00:00,26.96,84,22.46,6.74,1028.6
2025-03-03 05:00:00,34.02,38,2.13,11.17,991.36
2025-03-03 06:00:00,31.15,26,3.91,12.96,993.26
2025-03-03 07:00:00,26.47,94,2.57,13.18,1013.2
2025-03-03 08:00:00,34.1,41,4.38,18.39,1035.46
2025-03-03 09:00:00,20.4,52,0.72,28.29,1016.94
2025-03-03 10:00:00,18.46,90,7.32,7.22,1014.89
2025-03-03 11:00:00,18.53,59,0.7,3.65,995.27
2025-03-03 12:00:00,22.35,29,16.11,5.92,1022.84
2025-03-03 13:00:00,20.25,89,2.66,26.61,1031.11
2025-03-03 14:00:00,35.46,64,7.77,19.37,1009.02
2025-03-03 15:00:00,17.33,80,21.21,8.58,1028.78
2025-03-03 16:00:00,30.38,60,10.52,24.48,1038.22
2025-03-03 17:00:00,19.16,69,7.61,25.84,1000.19
2025-03-03 18:00:00,34.4,47,3.92,25.4,1016.17
2025-03-03 19:00:00,36.15,71,4.05,27.57,1004.36
2025-03-03 20:00:00,25.24,55,11.07,7.57,1029.64
2025-03-03 21:00:00,34.34,35,51.39,22.65,1018.88
2025-03-03 22:00:00,15.11,34,10.84,13.82,1021.73
2025-03-03 23:00:00,33.04,91,8.16,25.26,1029.9
2025-03-04 00:00:00,20.03,38,13.12,21.85,1009.8
2025-03-04 01:00:00,34.99,34,6.26,23.29,1035.75
2025-03-04 02:00:00,15.02,25,0.62,19.68,1016.65
2025-03-04 03:00:00,27.24,29,8.26,5.32,997.9
2025-03-04 04:00:00,31.65,44,31.61,16.35,1024.79
2025-03-04 05:00:00,20.69,32,1.93,29.54,1029.66
2025-03-04 06:00:00,19.25,67,11.71,28.12,1005.84
2025-03-04 07:00:00,16.85,25,2.24,1.3,1032.86
2025-03-04 08:00:00,22.18,81,7.67,4.94,1035.31
2025-03-04 09:00:00,27.32,88,1.02,3.95,1003.85
2025-03-04 10:00:00,17.55,52,5.99,21.78,1039.18
2025-03-04 11:00:00,23.29,61,14.11,24.53,997.04
2025-03-04 12:00:00,15.2,71,4.27,6.41,1000.1
2025-03-04 13:00:00,33.01,61,10.93,15.18,999.21
2025-03-04 14:00:00,17.83,73,15.87,25.22,1034.7
2025-03-04 15:00:00,21.23,68,26.2,21.98,1022.71
2025-03-04 16:00:00,15.41,80,2.67,16.27,997.61
2025-03-04 17:00:00,24.51,52,5.1,17.71,1012.02
2025-03-04 18:00:00,33.48,30,1.65,15.25,1020.76
2025-03-04 19:00:00,23.63,85,48.91,8.93,994.17
2025-03-04 20:00:00,18.95,44,26.17,16.95,1034.12
2025-03-04 21:00:00,31.58,26,7.76,20.67,1030.18
2025-03-04 22:00:00,32.35,61,18.45,26.2,1015.26
2025-03-04 23:00:00,18.82,44,7.36,19.09,1038.36
2025-03-05 00:00:00,31.96,50,9.77,22.83,1010.89
2025-03-05 01:00:00,35.84,53,0.93,4.8,1039.21
2025-03-05 02:00:00,18.66,25,14.08,13.85,1023.4
2025-03-05 03:00:00,31.96,59,1.37,0.28,1021.73
2025-03-05 04:00:00,30.59,94,17.49,7.4,998.3
2025-03-05 05:00:00,25.42,83,15.23,21.79,1034.1
2025-03-05 06:00:00,16.27,93,12.34,29.75,1011.37
2025-03-05 07:00:00,16.64,57,0.37,2.98,998.11
2025-03-05 08:00:00,33.75,75,3.61,12.04,990.63
2025-03-05 09:00:00,36.78,36,3.05,24.0,1017.99
2025-03-05 10:00:00,29.87,44,4.47,6.12,1016.37
2025-03-05 11:00:00,24.81,77,0.92,16.65,1025.97
2025-03-05 12:00:00,29.25,67,27.64,21.99,1034.51
2025-03-05 13:00:00,28.08,74,8.07,18.48,993.97
2025-03-05 14:00:00,23.44,53,3.65,5.64,1026.57
2025-03-05 15:00:00,16.44,81,5.06,10.66,999.37
2025-03-05 16:00:00,33.07,63,5.93,23.51,1032.91
2025-03-05 17:00:00,23.18,80,9.18,16.63,1030.95
2025-03-05 18:00:00,33.01,67,7.25,0.16,1017.04
2025-03-05 19:00:00,20.56,74,25.18,22.83,1025.51
2025-03-05 20:00:00,15.02,47,6.87,1.06,1005.72
2025-03-05 21:00:00,18.5,68,48.48,22.37,1013.56
2025-03-05 22:00:00,25.31,62,19.07,6.07,1031.08
2025-03-05 23:00:00,35.77,47,2.34,28.74,1012.96
2025-03-06 00:00:00,17.25,69,26.68,11.04,1007.89
2025-03-06 01:00:00,33.79,76,1.24,9.81,1014.71
2025-03-06 02:00:00,26.59,74,17.01,4.47,1031.41
2025-03-06 03:00:00,33.17,32,4.79,9.17,1006.76
2025-03-06 04:00:00,21.56,25,21.04,26.3,998.69
2025-03-06 05:00:00,33.48,32,20.25,29.89,1025.6
2025-03-06 06:00:00,32.0,53,16.4,11.05,1031.3
2025-03-06 07:00:00,20.06,29,15.61,13.46,995.03
2025-03-06 08:00:00,17.89,71,3.63,21.66,1001.99
2025-03-06 09:00:00,34.1,58,0.84,26.59,997.1
2025-03-06 10:00:00,36.19,89,5.16,17.79,1007.4
2025-03-06 11:00:00,15.69,79,1.91,11.75,1012.52
2025-03-06 12:00:00,31.09,67,11.87,12.38,1027.44
2025-03-06 13:00:00,35.01,54,4.25,20.87,1022.56
2025-03-06 14:00:00,33.86,41,37.14,0.1,1021.05
2025-03-06 15:00:00,36.22,50,10.24,18.59,1007.62
2025-03-06 16:00:00,31.72,32,17.29,10.66,1032.07
2025-03-06 17:00:00,24.73,71,1.42,23.83,1013.56
2025-03-06 18:00:00,21.86,70,19.81,2.79,1038.96
